sample	aliquot	type	injection	replicate	batch	order	datetime	compound	rt	area	compound_is	rt_is	area_is
s0047	s0047_a1	sample	1	a	1	12	2013-11-01 02:37:38:00	1-LG-Q	4.95853120689816	237996.057135587	2AG-ISTD	4.63083026596795	28267.6770320354
s0047	s0047_a1	sample	1	a	1	12	2013-11-01 02:37:38:00	1-OG-Q	6.20116167275006	788917.834999999	2AG-ISTD	4.63083026596795	28267.6770320354
s0047	s0047_a1	sample	1	a	1	12	2013-11-01 02:37:38:00	2-LG-Q	4.72344690963778	27280.0565974544	2AG-ISTD	4.63083026596795	28267.6770320354
s0037	s0037_b1	sample	1	b	1	13	2013-11-01 02:50:19:00	1-LG-Q	4.95786613821731	102453.689581494	2AG-ISTD	4.63399683690205	31387.6987184148
s0037	s0037_b1	sample	1	b	1	13	2013-11-01 02:50:19:00	1-OG-Q	6.20189476119418	630083.764771908	2AG-ISTD	4.63399683690205	31387.6987184148
s0037	s0037_b1	sample	1	b	1	13	2013-11-01 02:50:19:00	2-LG-Q	4.71163995279424	11547.713257293	2AG-ISTD	4.63399683690205	31387.6987184148
s0017	s0017_a1	sample	1	a	1	14	2013-11-01 03:03:00:00	1-LG-Q	4.9562195996205	360250.012689969	2AG-ISTD	4.62774594019492	35088.0603611517
s0017	s0017_a1	sample	1	a	1	14	2013-11-01 03:03:00:00	1-OG-Q	6.1992672325526	1391793.4655	2AG-ISTD	4.62774594019492	35088.0603611517
s0017	s0017_a1	sample	1	a	1	14	2013-11-01 03:03:00:00	2-LG-Q	4.72192964029054	44487.7415251228	2AG-ISTD	4.62774594019492	35088.0603611517
s0014	s0014_a1	sample	1	a	1	15	2013-11-01 03:15:41:00	1-LG-Q	4.95317405857538	125273.888143887	2AG-ISTD	4.62963088850787	29813.174105603
s0014	s0014_a1	sample	1	a	1	15	2013-11-01 03:15:41:00	1-OG-Q	6.20140093525017	597806.666499998	2AG-ISTD	4.62963088850787	29813.174105603
s0014	s0014_a1	sample	1	a	1	15	2013-11-01 03:15:41:00	2-LG-Q	4.73168930322656	13363.4728264255	2AG-ISTD	4.62963088850787	29813.174105603
s0018	s0018_a1	sample	1	a	1	16	2013-11-01 03:28:23:00	1-LG-Q	4.95849211746513	179348.963407783	2AG-ISTD	4.63234743106869	34512.6166720832
s0018	s0018_a1	sample	1	a	1	16	2013-11-01 03:28:23:00	1-OG-Q	6.20143510208006	1295296.15688589	2AG-ISTD	4.63234743106869	34512.6166720832
s0018	s0018_a1	sample	1	a	1	16	2013-11-01 03:28:23:00	2-LG-Q	4.7256634344646	20567.0787964714	2AG-ISTD	4.63234743106869	34512.6166720832
s0001_blank	s0001blank_a5	blank	5	a	1	17	2013-11-01 03:41:04:00	1-LG-Q	4.9503565562989	1036.91977417014	2AG-ISTD	5.03674334331982	892.017642556326
s0001_blank	s0001blank_a5	blank	5	a	1	17	2013-11-01 03:41:04:00	1-OG-Q	6.24751904761905	2353.99950000001	2AG-ISTD	5.03674334331982	892.017642556326
s0001_blank	s0001blank_a5	blank	5	a	1	17	2013-11-01 03:41:04:00	2-LG-Q	4.70767914557721	235.139419692543	2AG-ISTD	5.03674334331982	892.017642556326
s0001_qc	s0001qc_c2	qc	2	c	1	18	2013-11-01 03:53:46:00	1-LG-Q	4.95523283336294	204267.016519856	2AG-ISTD	4.63163231904239	29355.921262557
s0001_qc	s0001qc_c2	qc	2	c	1	18	2013-11-01 03:53:46:00	1-OG-Q	6.19991690261305	968033.815999998	2AG-ISTD	4.63163231904239	29355.921262557
s0001_qc	s0001qc_c2	qc	2	c	1	18	2013-11-01 03:53:46:00	2-LG-Q	4.72349657605089	26853.669531229	2AG-ISTD	4.63163231904239	29355.921262557
s0036	s0036_a1	sample	1	a	1	19	2013-11-01 04:06:29:00	1-LG-Q	4.95409246662394	84683.9364705284	2AG-ISTD	4.62976001633263	36856.2608071016
s0036	s0036_a1	sample	1	a	1	19	2013-11-01 04:06:29:00	1-OG-Q	6.1990968467347	622026.406500001	2AG-ISTD	4.62976001633263	36856.2608071016
s0036	s0036_a1	sample	1	a	1	19	2013-11-01 04:06:29:00	2-LG-Q	4.71373285497744	11274.2062890282	2AG-ISTD	4.62976001633263	36856.2608071016
s0035	s0035_a1	sample	1	a	1	20	2013-11-01 04:19:09:00	1-LG-Q	4.95595160300955	80855.4520063094	2AG-ISTD	4.62679638779996	29457.6224054704
s0035	s0035_a1	sample	1	a	1	20	2013-11-01 04:19:09:00	1-OG-Q	6.20004294992655	590006.079	2AG-ISTD	4.62679638779996	29457.6224054704
s0035	s0035_a1	sample	1	a	1	20	2013-11-01 04:19:09:00	2-LG-Q	4.72354919936488	9512.84922901829	2AG-ISTD	4.62679638779996	29457.6224054704
s0042	s0042_a1	sample	1	a	1	21	2013-11-01 04:31:51:00	1-LG-Q	4.95770914056167	234933.23584909	2AG-ISTD	4.62982524220885	29654.0433927601
s0042	s0042_a1	sample	1	a	1	21	2013-11-01 04:31:51:00	1-OG-Q	6.19934387873982	1921075.02800001	2AG-ISTD	4.62982524220885	29654.0433927601
s0042	s0042_a1	sample	1	a	1	21	2013-11-01 04:31:51:00	2-LG-Q	4.72407798310038	31734.9019064849	2AG-ISTD	4.62982524220885	29654.0433927601
s0031	s0031_a1	sample	1	a	1	22	2013-11-01 04:44:32:00	1-LG-Q	4.95564606571523	202890.794747665	2AG-ISTD	4.63135742218027	34250.6667016181
s0031	s0031_a1	sample	1	a	1	22	2013-11-01 04:44:32:00	1-OG-Q	6.19975907248652	1157542.24750001	2AG-ISTD	4.63135742218027	34250.6667016181
s0031	s0031_a1	sample	1	a	1	22	2013-11-01 04:44:32:00	2-LG-Q	4.72115107853424	22037.9865562307	2AG-ISTD	4.63135742218027	34250.6667016181
s0013	s0013_b1	sample	1	b	1	23	2013-11-01 04:57:14:00	1-LG-Q	4.95610117821279	81544.7077643889	2AG-ISTD	4.64758033041241	35735.2427566605
s0013	s0013_b1	sample	1	b	1	23	2013-11-01 04:57:14:00	1-OG-Q	6.19371684630077	579240.951499995	2AG-ISTD	4.64758033041241	35735.2427566605
s0013	s0013_b1	sample	1	b	1	23	2013-11-01 04:57:14:00	2-LG-Q	4.73013293701435	8584.99493273498	2AG-ISTD	4.64758033041241	35735.2427566605
s0034	s0034_a1	sample	1	a	1	24	2013-11-01 05:09:54:00	1-LG-Q	4.95474759023971	155303.948331624	2AG-ISTD	4.63012412456924	38885.6199225621
s0034	s0034_a1	sample	1	a	1	24	2013-11-01 05:09:54:00	1-OG-Q	6.20153094548932	492447.873499999	2AG-ISTD	4.63012412456924	38885.6199225621
s0034	s0034_a1	sample	1	a	1	24	2013-11-01 05:09:54:00	2-LG-Q	4.72114080061707	20183.0768381922	2AG-ISTD	4.63012412456924	38885.6199225621
s0020	s0020_a1	sample	1	a	1	25	2013-11-01 05:22:35:00	1-LG-Q	4.95555788698478	106400.984287541	2AG-ISTD	4.62809870594264	39403.9671967399
s0020	s0020_a1	sample	1	a	1	25	2013-11-01 05:22:35:00	1-OG-Q	6.199215018312	553453.858000001	2AG-ISTD	4.62809870594264	39403.9671967399
s0020	s0020_a1	sample	1	a	1	25	2013-11-01 05:22:35:00	2-LG-Q	4.71409469819038	16078.0792769271	2AG-ISTD	4.62809870594264	39403.9671967399
s0033	s0033_a1	sample	1	a	1	26	2013-11-01 05:35:16:00	1-LG-Q	4.96020762328622	172293.92472029	2AG-ISTD	4.6268485554209	29102.7912140662
s0033	s0033_a1	sample	1	a	1	26	2013-11-01 05:35:16:00	1-OG-Q	6.19734915771441	1015593.442	2AG-ISTD	4.6268485554209	29102.7912140662
s0033	s0033_a1	sample	1	a	1	26	2013-11-01 05:35:16:00	2-LG-Q	4.72011574667029	19656.7854818655	2AG-ISTD	4.6268485554209	29102.7912140662
s0015	s0015_a1	sample	1	a	1	27	2013-11-01 05:47:56:00	1-LG-Q	4.95811975406899	205476.178566566	2AG-ISTD	4.63089701878342	36547.2990672597
s0015	s0015_a1	sample	1	a	1	27	2013-11-01 05:47:56:00	1-OG-Q	6.20153216109458	727047.223500002	2AG-ISTD	4.63089701878342	36547.2990672597
s0015	s0015_a1	sample	1	a	1	27	2013-11-01 05:47:56:00	2-LG-Q	4.71457540140343	29167.8045526063	2AG-ISTD	4.63089701878342	36547.2990672597
s0001_blank	s0001blank_a6	blank	6	a	1	28	2013-11-01 06:00:37:00	1-LG-Q	4.94953333333333	337.199342264788	2AG-ISTD	4.88580640365207	813.986760390104
s0001_blank	s0001blank_a6	blank	6	a	1	28	2013-11-01 06:00:37:00	1-OG-Q	6.6860078028169	3714.04599999999	2AG-ISTD	4.88580640365207	813.986760390104
s0001_blank	s0001blank_a6	blank	6	a	1	28	2013-11-01 06:00:37:00	2-LG-Q	4.72817160377303	1227.95158474819	2AG-ISTD	4.88580640365207	813.986760390104
s0001_qc	s0001qc_d1	qc	1	d	1	29	2013-11-01 06:13:17:00	1-LG-Q	4.95379729099864	215020.24535285	2AG-ISTD	4.62667191960657	34592.0901272484
s0001_qc	s0001qc_d1	qc	1	d	1	29	2013-11-01 06:13:17:00	1-OG-Q	6.19715885179764	853056.400499996	2AG-ISTD	4.62667191960657	34592.0901272484
s0001_qc	s0001qc_d1	qc	1	d	1	29	2013-11-01 06:13:17:00	2-LG-Q	4.72061473586519	29763.0514336235	2AG-ISTD	4.62667191960657	34592.0901272484
s0041	s0041_a1	sample	1	a	1	30	2013-11-01 06:25:59:00	1-LG-Q	4.9561650032624	445188.729968754	2AG-ISTD	4.64067213933112	31227.0437485051
s0041	s0041_a1	sample	1	a	1	30	2013-11-01 06:25:59:00	1-OG-Q	6.19463680100908	1535790.22699527	2AG-ISTD	4.64067213933112	31227.0437485051
s0041	s0041_a1	sample	1	a	1	30	2013-11-01 06:25:59:00	2-LG-Q	4.7223412891511	41446.7974438969	2AG-ISTD	4.64067213933112	31227.0437485051
s0027	s0027_a1	sample	1	a	1	31	2013-11-01 06:38:40:00	1-LG-Q	4.95123808264902	115677.718764895	2AG-ISTD	4.63153086509662	28206.0436284924
s0027	s0027_a1	sample	1	a	1	31	2013-11-01 06:38:40:00	1-OG-Q	6.19737596254192	803394.715000001	2AG-ISTD	4.63153086509662	28206.0436284924
s0027	s0027_a1	sample	1	a	1	31	2013-11-01 06:38:40:00	2-LG-Q	4.72050059469578	12153.4091697231	2AG-ISTD	4.63153086509662	28206.0436284924
s0001	s0001_a1	sample	1	a	1	32	2013-11-01 06:51:22:00	1-LG-Q	4.95076371687046	206198.741645621	2AG-ISTD	4.6296577656407	33687.1799069858
s0001	s0001_a1	sample	1	a	1	32	2013-11-01 06:51:22:00	1-OG-Q	6.19531146084758	722583.898689359	2AG-ISTD	4.6296577656407	33687.1799069858
s0001	s0001_a1	sample	1	a	1	32	2013-11-01 06:51:22:00	2-LG-Q	4.71990080282323	25648.2485822275	2AG-ISTD	4.6296577656407	33687.1799069858
s0024	s0024_b1	sample	1	b	1	33	2013-11-01 07:04:04:00	1-LG-Q	4.95363735068427	201528.766927634	2AG-ISTD	4.63488909913864	37632.4740792736
s0024	s0024_b1	sample	1	b	1	33	2013-11-01 07:04:04:00	1-OG-Q	6.19732785305698	683088.221000001	2AG-ISTD	4.63488909913864	37632.4740792736
s0024	s0024_b1	sample	1	b	1	33	2013-11-01 07:04:04:00	2-LG-Q	4.72140594671679	23184.9379209805	2AG-ISTD	4.63488909913864	37632.4740792736
s0032	s0032_a1	sample	1	a	1	34	2013-11-01 07:16:46:00	1-LG-Q	4.95357394291086	217077.823803943	2AG-ISTD	4.6250889945155	35565.8127619596
s0032	s0032_a1	sample	1	a	1	34	2013-11-01 07:16:46:00	1-OG-Q	6.19604902644924	762027.405499995	2AG-ISTD	4.6250889945155	35565.8127619596
s0032	s0032_a1	sample	1	a	1	34	2013-11-01 07:16:46:00	2-LG-Q	4.71834715204797	21655.4802307706	2AG-ISTD	4.6250889945155	35565.8127619596
s0022	s0022_a1	sample	1	a	1	35	2013-11-01 07:29:27:00	1-LG-Q	4.95234538510565	127952.661031609	2AG-ISTD	4.62666759215286	23597.9599467412
s0022	s0022_a1	sample	1	a	1	35	2013-11-01 07:29:27:00	1-OG-Q	6.19860708788647	432476.296500001	2AG-ISTD	4.62666759215286	23597.9599467412
s0022	s0022_a1	sample	1	a	1	35	2013-11-01 07:29:27:00	2-LG-Q	4.7140665479865	16533.0433211973	2AG-ISTD	4.62666759215286	23597.9599467412
