sample	aliquot	type	injection	replicate	batch	order	datetime	compound	rt	area	compound_is	rt_is	area_is
s0001_qc	s0001qc_b2	qc	2	b	1	13	2015-03-05 19:42:00	23-dinor-11b-PGF2a	4.014	708	23-dinor-11b-PGF2a_ISTD	5.203	166912
s0001_qc	s0001qc_b2	qc	2	b	1	13	2015-03-05 19:42:00	23-dinor-8-iso-PGF2a	3.45	503	23-dinor-8-iso-PGF2a_ISTD	4.638	40000
s0001_qc	s0001qc_b2	qc	2	b	1	13	2015-03-05 19:42:00	8-iso-PGF3a	3.99	6839	8-iso-PGF3a_ISTD	4.638	40000
s108	s108_a1	sample	1	a	1	14	2015-03-05 19:56:00	23-dinor-11b-PGF2a	4.009	1329	23-dinor-11b-PGF2a_ISTD	5.207	167073
s108	s108_a1	sample	1	a	1	14	2015-03-05 19:56:00	23-dinor-8-iso-PGF2a	3.414	907	23-dinor-8-iso-PGF2a_ISTD	4.639	39392
s108	s108_a1	sample	1	a	1	14	2015-03-05 19:56:00	8-iso-PGF3a	3.683	13967	8-iso-PGF3a_ISTD	4.639	39392
s173	s173_a1	sample	1	a	1	15	2015-03-05 20:11:00	23-dinor-11b-PGF2a	4.009	366	23-dinor-11b-PGF2a_ISTD	5.204	115579
s173	s173_a1	sample	1	a	1	15	2015-03-05 20:11:00	23-dinor-8-iso-PGF2a	3.391	1089	23-dinor-8-iso-PGF2a_ISTD	4.633	43735
s173	s173_a1	sample	1	a	1	15	2015-03-05 20:11:00	8-iso-PGF3a	3.685	27153	8-iso-PGF3a_ISTD	4.633	43735
s196	s196_a1	sample	1	a	1	16	2015-03-05 20:25:00	23-dinor-11b-PGF2a	4.02	97	23-dinor-11b-PGF2a_ISTD	5.218	188509
s196	s196_a1	sample	1	a	1	16	2015-03-05 20:25:00	23-dinor-8-iso-PGF2a	3.462	688	23-dinor-8-iso-PGF2a_ISTD	4.652	41942
s196	s196_a1	sample	1	a	1	16	2015-03-05 20:25:00	8-iso-PGF3a	3.686	3009	8-iso-PGF3a_ISTD	4.652	41942
s194	s194_a1	sample	1	a	1	17	2015-03-05 20:40:00	23-dinor-11b-PGF2a	4.027	307	23-dinor-11b-PGF2a_ISTD	5.211	215043
