sample	aliquot	type	injection	replicate	batch	order	datetime	compound	rt	area	compound_is	rt_is	area_is
s0129	s0129_a1	sample	1	a	2	50	1970-01-03 08:34:10	L-histidine	1.50	22013	L-histidine_ISTD		150890
s0129	s0129_a1	sample	1	a	2	50	1970-01-03 08:34:10	o-phosphoethanolamine	1.70	1415	o-phosphoethanolamine_ISTD		150890
s0130	s0130_a1	sample	1	a	2	51	1970-01-03 08:34:11	L-4-hydroxy-proline	1.42	18777	L-4-hydroxy-proline_ISTD		142658
s0130	s0130_a1	sample	1	a	2	51	1970-01-03 08:34:11	L-histidine	1.51	22331	L-histidine_ISTD		142658
s0130	s0130_a1	sample	1	a	2	51	1970-01-03 08:34:11	o-phosphoethanolamine	1.69	1039	o-phosphoethanolamine_ISTD		142658
s0132	s0132_a1	sample	1	a	2	52	1970-01-03 08:34:12	L-4-hydroxy-proline	1.42	19345	L-4-hydroxy-proline_ISTD		146941
s0132	s0132_a1	sample	1	a	2	52	1970-01-03 08:34:12	L-histidine	1.51	26648	L-histidine_ISTD		146941
s0132	s0132_a1	sample	1	a	2	52	1970-01-03 08:34:12	o-phosphoethanolamine	1.72	851	o-phosphoethanolamine_ISTD		146941
s0137	s0137_b1	sample	1	b	2	53	1970-01-03 08:34:13	L-4-hydroxy-proline	1.42	13973	L-4-hydroxy-proline_ISTD		145296
s0137	s0137_b1	sample	1	b	2	53	1970-01-03 08:34:13	L-histidine	1.50	33683	L-histidine_ISTD		145296
s0137	s0137_b1	sample	1	b	2	53	1970-01-03 08:34:13	o-phosphoethanolamine	1.70	1556	o-phosphoethanolamine_ISTD		145296
s0138	s0138_a1	sample	1	a	2	54	1970-01-03 08:34:14	L-4-hydroxy-proline	1.42	12754	L-4-hydroxy-proline_ISTD		147547
s0138	s0138_a1	sample	1	a	2	54	1970-01-03 08:34:14	L-histidine	1.49	24381	L-histidine_ISTD		147547
s0138	s0138_a1	sample	1	a	2	54	1970-01-03 08:34:14	o-phosphoethanolamine	1.69	1483	o-phosphoethanolamine_ISTD		147547
s0139	s0139_a1	sample	1	a	2	55	1970-01-03 08:34:15	L-4-hydroxy-proline	1.43	17612	L-4-hydroxy-proline_ISTD		144740
s0139	s0139_a1	sample	1	a	2	55	1970-01-03 08:34:15	L-histidine	1.51	25265	L-histidine_ISTD		144740
s0139	s0139_a1	sample	1	a	2	55	1970-01-03 08:34:15	o-phosphoethanolamine	1.70	1662	o-phosphoethanolamine_ISTD		144740
s0140	s0140_b1	sample	1	b	2	56	1970-01-03 08:34:16	L-4-hydroxy-proline	1.42	12377	L-4-hydroxy-proline_ISTD		144685
s0140	s0140_b1	sample	1	b	2	56	1970-01-03 08:34:16	L-histidine	1.50	32676	L-histidine_ISTD		144685
s0140	s0140_b1	sample	1	b	2	56	1970-01-03 08:34:16	o-phosphoethanolamine	1.71	1456	o-phosphoethanolamine_ISTD		144685
s0144	s0144_a1	sample	1	a	2	57	1970-01-03 08:34:17	L-4-hydroxy-proline	1.42	21315	L-4-hydroxy-proline_ISTD		147702
s0144	s0144_a1	sample	1	a	2	57	1970-01-03 08:34:17	L-histidine	1.51	26576	L-histidine_ISTD		147702
s0144	s0144_a1	sample	1	a	2	57	1970-01-03 08:34:17	o-phosphoethanolamine	1.70	1711	o-phosphoethanolamine_ISTD		147702
s02_blank	s02blank_d1	blank	1	d	2	61	1970-01-03 08:34:21	L-4-hydroxy-proline	1.35	8	L-4-hydroxy-proline_ISTD		2
s02_blank	s02blank_d1	blank	1	d	2	61	1970-01-03 08:34:21	L-4-hydroxy-proline	1.42	12	L-4-hydroxy-proline_ISTD		2
s02_blank	s02blank_d1	blank	1	d	2	61	1970-01-03 08:34:21	L-4-hydroxy-proline	1.46	6	L-4-hydroxy-proline_ISTD		
s02_blank	s02blank_d1	blank	1	d	2	61	1970-01-03 08:34:21	L-4-hydroxy-proline	1.38	16	L-4-hydroxy-proline_ISTD		4
s02_blank	s02blank_d1	blank	1	d	2	61	1970-01-03 08:34:21	L-histidine	1.51	15	L-histidine_ISTD		2
s02_blank	s02blank_d1	blank	1	d	2	61	1970-01-03 08:34:21	L-histidine	1.47	233	L-histidine_ISTD		2
s02_blank	s02blank_d1	blank	1	d	2	61	1970-01-03 08:34:21	L-histidine	1.50	21	L-histidine_ISTD		
s02_blank	s02blank_d1	blank	1	d	2	61	1970-01-03 08:34:21	L-histidine	1.53	15	L-histidine_ISTD		4
s02_blank	s02blank_d1	blank	1	d	2	61	1970-01-03 08:34:21	o-phosphoethanolamine	1.85	7	o-phosphoethanolamine_ISTD		2
s02_blank	s02blank_d1	blank	1	d	2	61	1970-01-03 08:34:21	o-phosphoethanolamine	1.68	33	o-phosphoethanolamine_ISTD		2
s02_blank	s02blank_d1	blank	1	d	2	61	1970-01-03 08:34:21	o-phosphoethanolamine	1.61	2	o-phosphoethanolamine_ISTD		
s02_blank	s02blank_d1	blank	1	d	2	61	1970-01-03 08:34:21	o-phosphoethanolamine	1.68	4	o-phosphoethanolamine_ISTD		4
s02_cal0	s02cal0_a2	cal	2	a	2	71	1970-01-03 08:34:31	L-4-hydroxy-proline	1.41	18988	L-4-hydroxy-proline_ISTD		143121
s02_cal0	s02cal0_a2	cal	2	a	2	71	1970-01-03 08:34:31	L-4-hydroxy-proline	1.41	18575	L-4-hydroxy-proline_ISTD		145843
s02_cal0	s02cal0_a2	cal	2	a	2	71	1970-01-03 08:34:31	L-histidine	1.49	24558	L-histidine_ISTD		143121
s02_cal0	s02cal0_a2	cal	2	a	2	71	1970-01-03 08:34:31	L-histidine	1.50	25407	L-histidine_ISTD		145843
s02_cal0	s02cal0_a2	cal	2	a	2	71	1970-01-03 08:34:31	o-phosphoethanolamine	1.68	1258	o-phosphoethanolamine_ISTD		143121
s02_cal0	s02cal0_a2	cal	2	a	2	71	1970-01-03 08:34:31	o-phosphoethanolamine	1.69	1420	o-phosphoethanolamine_ISTD		145843
s02_cal1	s02cal1_a2	cal	2	a	2	72	1970-01-03 08:34:32	L-4-hydroxy-proline	1.40	21268	L-4-hydroxy-proline_ISTD		127664
s02_cal1	s02cal1_a2	cal	2	a	2	72	1970-01-03 08:34:32	L-4-hydroxy-proline	1.41	21687	L-4-hydroxy-proline_ISTD		137052
