ID#	1							
Name	2_3-dinor-8-iso-PGF2a							
	Data Filename	Sample Type	Ret. Time	Area	S/N	ISTD Area	ISTD Ret.Time	Date Acquired
1	S0001BLANK_A1.lcd	Unknown	-----	-----	-----	-----	-----	05/03/15 17:03
2	S0001BLANK_A2.lcd	Unknown	-----	-----	-----	-----	-----	05/03/15 19:28
3	S0001BLANK_B1.lcd	Unknown	-----	-----	-----	-----	-----	06/03/15 15:37
4	S0001BLANK_B2.lcd	Unknown	-----	-----	-----	-----	-----	06/03/15 18:01
5	S0001CAL0_A1.lcd	Unknown	3,401	646	4,47	44960	4,64	05/03/15 17:32
6	S0001CAL0_A2.lcd	Unknown	3,385	1160	6,44	45485	4,631	06/03/15 16:06
7	S0001CAL1_A1.lcd	Unknown	3,444	6756	53,46	40757	4,639	05/03/15 17:47
8	S0001CAL1_A2.lcd	Unknown	3,432	6854	34,24	35861	4,629	06/03/15 16:21
9	S0001CAL2_A1.lcd	Unknown	3,452	12361	72,27	38071	4,643	05/03/15 18:01
10	S0001CAL2_A2.lcd	Unknown	3,432	11925	65,86	35392	4,629	06/03/15 16:35
11	S0001CAL3_A1.lcd	Unknown	3,441	19401	149,34	38014	4,64	05/03/15 18:15
12	S0001CAL3_A2.lcd	Unknown	3,421	19417	59,42	35652	4,626	06/03/15 16:50
13	S0001CAL4_A1.lcd	Unknown	3,439	120794	687,32	45688	4,634	05/03/15 18:30
14	S0001CAL4_A2.lcd	Unknown	3,435	113187	552,52	50669	4,629	06/03/15 17:04
15	S0001CAL5_A1.lcd	Unknown	3,451	192751	1060,25	44369	4,646	05/03/15 18:44
16	S0001CAL5_A2.lcd	Unknown	3,43	186830	875,11	45173	4,628	06/03/15 17:18
17	S0001CAL6_A1.lcd	Unknown	3,437	443057	942,38	52934	4,634	05/03/15 18:59
18	S0001CAL6_A2.lcd	Unknown	3,417	391797	770,6	47758	4,615	06/03/15 17:33
19	S0001QC_A1.lcd	Unknown	3,451	819	6,45	40922	4,649	05/03/15 16:49
20	S0001QC_A2.lcd	Unknown	-----	-----	-----	36653	4,644	05/03/15 17:18
21	S0001QC_B1.lcd	Unknown	3,463	571	5,6	43126	4,64	05/03/15 19:13
22	S0001QC_B2.lcd	Unknown	3,45	503	3,54	40000	4,638	05/03/15 19:42
23	S0001QC_C1.lcd	Unknown	3,395	489	3,96	38279	4,644	05/03/15 22:06
24	S0001QC_C2.lcd	Unknown	3,463	764	5,48	34211	4,646	06/03/15 00:30
25	S0001QC_D1.lcd	Unknown	3,424	1613	3,49	36163	4,645	06/03/15 02:54
26	S0001QC_D2.lcd	Unknown	3,424	1201	5,05	33533	4,642	06/03/15 05:18
27	S0001QC_E1.lcd	Unknown	3,41	1019	6,06	47755	4,639	06/03/15 07:57
28	S0001QC_E2.lcd	Unknown	3,421	1002	6,37	47954	4,638	06/03/15 10:35
29	S0001QC_F1.lcd	Unknown	3,444	399	2,86	50512	4,619	06/03/15 13:13
30	S0001QC_G1.lcd	Unknown	3,375	1160	3,73	44864	4,625	06/03/15 15:23
31	S0001QC_G2.lcd	Unknown	3,428	602	3,37	47041	4,631	06/03/15 15:52
32	S0001QC_H1.lcd	Unknown	3,378	1518	4,81	43523	4,622	06/03/15 17:47
33	S0001QC_H2.lcd	Unknown	3,395	1746	6,86	40797	4,627	06/03/15 18:16
34	S003_A1.lcd	Unknown	3,38	679	4,43	50318	4,619	06/03/15 14:11
35	S007_A1.lcd	Unknown	3,443	1796	4,95	45726	4,643	06/03/15 00:01
36	S013_A1.lcd	Unknown	3,463	331	4,03	46407	4,651	05/03/15 23:47
37	S015_A1.lcd	Unknown	3,417	1732	12,49	44991	4,639	06/03/15 06:16
38	S016_A1.lcd	Unknown	3,455	905	4,03	42716	4,645	06/03/15 02:11
39	S018_A1.lcd	Unknown	3,411	783	5,29	47507	4,636	06/03/15 08:26
40	S019_A1.lcd	Unknown	3,408	1032	6,62	39027	4,631	06/03/15 08:54
41	S031_A1.lcd	Unknown	3,4	1848	5,35	42770	4,635	06/03/15 10:50
42	S032_A1.lcd	Unknown	3,397	1335	5,12	51982	4,646	05/03/15 22:35
43	S038_A1.lcd	Unknown	3,425	559	1,63	49948	4,63	06/03/15 12:02
44	S042_A1.lcd	Unknown	3,453	1205	7,17	40578	4,646	06/03/15 07:28
45	S046_A1.lcd	Unknown	3,404	1040	3,36	55462	4,64	06/03/15 09:09
46	S052_A1.lcd	Unknown	3,391	1472	8,43	42255	4,625	06/03/15 14:26
