ID#	1							
Name	2_3-dinor-8-iso-PGF2a							
	Data Filename	Sample Type	Ret. Time	Area	S/N	ISTD Area	ISTD Ret.Time	Date Acquired
68	S067_A1.lcd	Unknown	3,501	601	1,29	45983	4,566	12/03/15 04:35
69	S068_A1.lcd	Unknown	3,406	333	1,01	33364	4,489	11/03/15 18:16
70	S068_A3.lcd	Unknown	3,412	156	0,7	44351	4,547	11/03/15 20:44
71	S074_A1.lcd	Unknown	3,492	674	1,81	47001	4,581	11/03/15 23:46
72	S080_A1.lcd	Unknown	3,321	279	3,86	59133	4,572	12/03/15 00:58
73	S087_A1.lcd	Unknown	3,38	277	0,75	46889	4,582	12/03/15 01:27
74	S087_B1.lcd	Unknown	3,371	1645	2,86	45915	4,551	12/03/15 12:15
75	S089_A1.lcd	Unknown	3,325	864	2,99	41924	4,57	12/03/15 03:37
76	S089_B1.lcd	Unknown	3,361	400	2,91	39547	4,55	12/03/15 10:06
77	S094_A1.lcd	Unknown	3,412	425	1,15	34865	4,546	12/03/15 12:44
78	S103_A1.lcd	Unknown	3,37	799	2,16	41468	4,557	12/03/15 12:30
79	S109_A1.lcd	Unknown	3,46	427	0,54	45556	4,537	12/03/15 11:03
80	S112_A1.lcd	Unknown	3,502	168	0,78	33339	4,579	12/03/15 06:15
81	S113_A1.lcd	Unknown	3,331	328	0,32	41036	4,509	11/03/15 16:06
82	S114_A1.lcd	Unknown	3,374	453	3,8	44571	4,568	12/03/15 05:18
83	S119_A1.lcd	Unknown	3,486	290	0,62	44096	4,555	12/03/15 15:08
84	S121_A1.lcd	Unknown	-----	-----	-----	39726	4,575	12/03/15 02:25
85	S123_A1.lcd	Unknown	3,363	654	0,84	46661	4,538	12/03/15 10:20
86	S127_A1.lcd	Unknown	3,305	683	5,03	36854	4,565	12/03/15 05:03
87	S128_A1.lcd	Unknown	3,328	335	0,59	40662	4,538	11/03/15 21:27
88	S128_B1.lcd	Unknown	3,403	929	0,69	40559	4,55	12/03/15 14:25
89	S129_A1.lcd	Unknown	3,468	278	0,57	36629	4,547	12/03/15 09:37
90	S133_A1.lcd	Unknown	3,525	912	1,71	43491	4,539	12/03/15 10:34
91	S136_A1.lcd	Unknown	3,429	356	0,76	47121	4,503	11/03/15 17:04
92	S136_B1.lcd	Unknown	3,353	319	2,09	47244	4,549	12/03/15 15:51
93	S140_A1.lcd	Unknown	3,466	422	0,92	53588	4,509	11/03/15 15:37
94	S142_A1.lcd	Unknown	3,459	378	1,03	44330	4,552	12/03/15 15:22
95	S152_A1.lcd	Unknown	3,371	466	2,61	45950	4,561	12/03/15 06:30
96	S154_A1.lcd	Unknown	3,515	633	0,54	39287	4,541	12/03/15 12:58
97	S157_A1.lcd	Unknown	3,384	313	2,35	36017	4,55	12/03/15 15:37
98	S161_A1.lcd	Unknown	3,372	525	1,51	36019	4,577	12/03/15 01:13
99	S168_A1.lcd	Unknown	3,459	656	2,39	44266	4,547	11/03/15 20:58
100	S170_A1.lcd	Unknown	3,357	828	1,24	45705	4,507	11/03/15 18:01
101	S170_A3.lcd	Unknown	3,482	276	2,76	44630	4,795	11/03/15 20:29
102	S175_A1.lcd	Unknown	3,355	784	1,62	41322	4,547	12/03/15 13:27
103	S177_A1.lcd	Unknown	3,49	415	1,33	41929	4,574	12/03/15 02:10
104	S181_A1.lcd	Unknown	3,404	517	1,1	49598	4,542	12/03/15 09:08
105	S184_A1.lcd	Unknown	3,357	637	1,46	46715	4,563	12/03/15 08:11
106	S185_A1.lcd	Unknown	3,336	1002	2,53	45924	4,578	12/03/15 00:00
107	S186_A1.lcd	Unknown	3,436	296	0,27	49993	4,551	12/03/15 09:51
108	S186_B1.lcd	Unknown	3,369	639	3,09	47998	4,574	12/03/15 03:51
109	S188_A1.lcd	Unknown	3,496	280	1,23	40766	4,577	12/03/15 02:39
110	S191_A1.lcd	Unknown	3,374	647	2,77	55655	4,568	12/03/15 07:42
111	S191_B1.lcd	Unknown	3,477	582	0,96	41224	4,572	12/03/15 05:47
112	S201_A1.lcd	Unknown	3,498	458	1,73	34359	4,572	12/03/15 07:13
113	S203_A1.lcd	Unknown	3,457	450	2,39	42903	4,56	12/03/15 14:39
								
ID#	2							
Name	8-iso-PGF3a							
