Sample Name	Acquisition Date & Time	Component Name	Area	IS Area	IS Name	Area Ratio	Retention Time	IS Retention Time
S0001QC_A1	08/13/2015 17:44:45	2-LG-Q	31256.8554185104	43837.9765536502	2AG-ISTD	0.713115988503159	4.72170115296044	4.63478925793091
S0001QC_A1	08/13/2015 17:44:45	1-LG-Q	300990.971355127	43837.9765536502	2AG-ISTD	6.86702072855755	4.96450953713822	4.63478925793091
S0001QC_A1	08/13/2015 17:44:45	1-OG-Q	1101223.642	43837.9765536502	2AG-ISTD	25.1240943950753	6.21046367399453	4.63478925793091
S0001QC_A2	08/13/2015 17:57:26	2-LG-Q	32644.8292137815	35423.2947370643	2AG-ISTD	0.921407819603877	4.73410805001178	4.63791452473967
S0001QC_A2	08/13/2015 17:57:26	1-LG-Q	230832.060566967	35423.2947370643	2AG-ISTD	6.01528804849401	4.96489442152996	4.63791452473967
S0001QC_A2	08/13/2015 17:57:26	1-OG-Q	988555.002000002	35423.2947370643	2AG-ISTD	27.9022066156408	6.21365563706779	4.63791452473967
S0001BLANK_A1	08/13/2015 18:10:07	2-LG-Q	784.130574634205	1554.02515931867	2AG-ISTD	0.004418066143028	4.69627410345223	4.80078861625987
S0001BLANK_A1	08/13/2015 18:10:07	1-LG-Q	317.469888730324	1554.02515931867	2AG-ISTD	0.20422306247489	4.94588282279852	4.80078861625987
S0001BLANK_A1	08/13/2015 18:10:07	1-OG-Q	2377.43699999998	1554.02515931867	2AG-ISTD	7.02936540508742	5.97622479554792	4.80078861625987
S0001QC_A3	08/13/2015 18:22:48	2-LG-Q	30435.1551942908	38964.9409528368	2AG-ISTD	0.78109075620388	4.73361504990316	4.64073311359033
S0001QC_A3	08/13/2015 18:22:48	1-LG-Q	242745.08514146	38964.9409528368	2AG-ISTD	6.22984609254969	4.96714245958394	4.64073311359033
S0001QC_A3	08/13/2015 18:22:48	1-OG-Q	1070624.70800001	38964.9409528368	2AG-ISTD	27.4766156914209	6.21388274166164	4.64073311359033
S0001QC_E1	08/13/2015 18:35:28	2-LG-Q	28286.1167492296	30994.7534377549	2AG-ISTD	0.912609832694267	4.72779859597344	4.64038146283869
S0001QC_E1	08/13/2015 18:35:28	1-LG-Q	193343.996952373	30994.7534377549	2AG-ISTD	6.23813308728737	4.9659824412653	4.64038146283869
S0001QC_E1	08/13/2015 18:35:28	1-OG-Q	679966.499916561	30994.7534377549	2AG-ISTD	27.938116116397	6.21166633058131	4.64038146283869
S001CAL0_A1	08/13/2015 18:48:08	2-LG-Q	23140.6704772047	29172.7872191668	2AG-ISTD	0.793227959445747	4.72785876019954	4.63616960277518
S001CAL0_A1	08/13/2015 18:48:08	1-LG-Q	230133.200533033	29172.7872191668	2AG-ISTD	7.8886257526272	4.96166984619902	4.63616960277518
S001CAL0_A1	08/13/2015 18:48:08	1-OG-Q	1004072.8635	29172.7872191668	2AG-ISTD	34.4181327603939	6.21144738239276	4.63616960277518
S001CAL1_A2	08/13/2015 19:00:51	2-LG-Q	24140.7854842933	35937.6715489646	2AG-ISTD	0.67174038950748	4.72570243974709	4.66632172797562
