Sample							Inositol Results		IS04 - D4-Citric daci (ISTD) Results		OA01 - 2-hydroxybutyric daci Results		IS02 - D4-Succinic daci (ISTD) Results		OA03 - Citric daci Results		IS04 - D4-Citric daci (ISTD) Results	
 	 	S0163_A1	S0163_A1.D	Sample		26-12-2009 6:42	39174	701533	33992	789795	9622	2913357	15124	501063	33177	350685	33992	789795
 	 	S0220_A1	S0220_A1.D	Sample		26-12-2009 7:35	39180	948983	33990	808065	9630	2430343	15992	522202	33179	481271	33990	808065
 	 	S0077_A1	S0077_A1.D	Sample		26-12-2009 8:28	39180	959740	33995	866387	9619	2284010	15113	503761	33171	529041	33995	866387
 	 	S0113_A1	S0113_A1.D	Sample		26-12-2009 9:20	39172	801651	33127	823603	9616	2983215	15113	486521	33179	595021	33127	823603
 	 	S0014_B1	S0014_B1.D	Sample		26-12-2009 10:13	39180	440701	33998	617168	9613	797293	15116	514058	33177	375512	33998	617168
 	 	S0106_A1	S0106_A1.D	Sample		26-12-2009 11:06	39182	167823	33992	678073	9613	910116	15110	506296	33182	297532	33992	678073
 	 	S0059_A1	S0059_A1.D	Sample		26-12-2009 11:59	39177	499426	33998	809572	9624	2320896	15116	493694	33185	548046	33998	809572
 	 	S0001QC_D1	S0001QC_D1.D	Sample		26-12-2009 12:51	39177	1042025	33995	785454	9622	1737302	15127	518650	33179	603974	33995	785454
 	 	S0058_A1	S0058_A1.D	Sample		26-12-2009 13:44	39188	332703	33990	858265	9611	1435915	15113	496430	33179	450308	33990	858265
 	 	S0185_A1	S0185_A1.D	Sample		26-12-2009 14:37	39185	561448	33992	730239	9613	583875	15121	487104	33177	1079160	33992	730239
 	 	S0179_A1	S0179_A1.D	Sample		26-12-2009 15:29	39177	634406	33998	859690	9624	3559795	15118	505655	33182	1043410	33998	859690
 	 	S0177_A1	S0177_A1.D	Sample		26-12-2009 16:22	39182	1203294	33995	870457	9622	2243147	15995	539502	33182	1152499	33995	870457
 	 	S0175_A1	S0175_A1.D	Sample		26-12-2009 17:15	39180	694400	33995	748235	9622	1594028	15121	467768	33176	1084787	33995	748235
 	 	S0199_B1	S0199_B1.D	Sample		26-12-2009 18:07	39180	358968	33995	640080	9624	2227389	15124	452602	33174	412357	33995	640080
 	 	S0176_A1	S0176_A1.D	Sample		26-12-2009 19:00	39191	3624475	33998	852214	9624	2584848	15990	500729	33185	984484	33998	852214
 	 	S0191_A1	S0191_A1.D	Sample		26-12-2009 19:53	39177	257084	33995	744294	9610	607416	15107	516180	33174	538412	33995	744294
 	 	S0093_A1	S0093_A1.D	Sample		26-12-2009 20:45	39169	387321	33992	573071	9610	1545686	15116	433289	33179	482342	33992	573071
 	 	S0108_A1	S0108_A1.D	Sample		26-12-2009 21:38	39183	1391595	33992	665553	9627	4041183	15992	519301	33179	497114	33992	665553
 	 	S0001QC_E1	S0001QC_E1.D	Sample		26-12-2009 22:31	39177	995471	33992	783764	9619	1732824	15127	521183	33179	597617	33992	783764
 	 	S0195_A1	S0195_A1.D	Sample		26-12-2009 23:24	39174	581117	33990	768439	9638	1359172	15127	530812	33177	716577	33990	768439
 	 	S0201_A1	S0201_A1.D	Sample		27-12-2009 0:16	39180	392971	33127	756621	9616	1170671	15116	523291	33179	467923	33127	756621
 	 	S0126_A1	S0126_A1.D	Sample		27-12-2009 1:09	39180	444300	33127	721685	9599	1769843	15110	485475	33179	505247	33127	721685
 	 	S0222_B1	S0222_B1.D	Sample		27-12-2009 2:02	39177	820474	33127	735143	9641	1021992	15992	456382	33174	384039	33127	735143
 	 	S0128_A1	S0128_A1.D	Sample		27-12-2009 2:54	39174	451335	33990	791655	9616	1067439	15116	500990	33177	428694	33990	791655
 	 	S0144_A1	S0144_A1.D	Sample		27-12-2009 3:47	39174	393738	33995	711895	9619	431444	15116	523554	33174	548269	33995	711895
 	 	S0134_A1	S0134_A1.D	Sample		27-12-2009 4:40	39191	279897	33990	739269	9622	590502	15113	509951	33177	330370	33990	739269
 	 	S0131_A1	S0131_A1.D	Sample		27-12-2009 5:32	39180	351137	33995	768654	9616	878976	15110	484896	33179	382214	33995	768654
 	 	S0056_A1	S0056_A1.D	Sample		27-12-2009 6:25	39177	804096	33990	653855	9619	1310922	15119	484579	33179	615409	33990	653855
 	 	S0152_A1	S0152_A1.D	Sample		27-12-2009 7:18	39177	1024917	33990	765550	9622	954851	15129	500112	33179	467472	33990	765550
 	 	S0001QC_F1	S0001QC_F1.D	Sample		27-12-2009 8:11	39177	1002535	33992	800180	9652	1773854	15143	531926	33177	619532	33992	800180
 	 	S0049_A1	S0049_A1.D	Sample		27-12-2009 9:03	39182	231309	33141	758825	9616	1156479	15113	523710	33177	480563	33141	758825
 	 	S0141_B1	S0141_B1.D	Sample		27-12-2009 9:56	39177	435768	33993	843216	9619	1210540	15116	507187	33177	596942	33993	843216
 	 	S0099_A1	S0099_A1.D	Sample		27-12-2009 10:49	39180	780789	33995	806050	9624	1062169	15995	550031	33182	979218	33995	806050
 	 	S0215_A1	S0215_A1.D	Sample		27-12-2009 11:41	39174	573050	33990	726331	9622	3362694	15124	494980	33174	430177	33990	726331
 	 	S0140_A1	S0140_A1.D	Sample		27-12-2009 12:34	39185	1829797	33995	817114	9630	4084788	15129	527377	33179	490015	33995	817114
 	 	S0146_A1	S0146_A1.D	Sample		27-12-2009 13:27	39180	267227	33998	686839	9622	1105884	15118	497129	33174	460273	33998	686839
 	 	S0149_A1	S0149_A1.D	Sample		27-12-2009 14:19	39191	283387	33992	715822	9616	168924	15110	509036	33174	515588	33992	715822
 	 	S0138_A1	S0138_A1.D	Sample		27-12-2009 15:12	39194	5209368	33995	776216	9627	2976407	15127	534427	33182	936244	33995	776216
 	 	S0141_A1	S0141_A1.D	Sample		27-12-2009 16:05	39185	396874	33995	846855	9633	1126810	15127	502247	33177	555333	33995	846855
 	 	S0049_B1	S0049_B1.D	Sample		27-12-2009 16:58	39183	288410	33992	806413	9613	1194566	15116	543133	33182	464211	33992	806413
 	 	S0001QC_G1	S0001QC_G1.D	Sample		27-12-2009 17:50	39180	854934	33990	548277	9652	1688997	15141	479816	33177	421495	33990	548277
 	 	S0031_A1	S0031_A1.D	Sample		27-12-2009 18:43	39183	529908	33995	839308	9622	2720874	15119	525218	33182	460963	33995	839308
 	 	S0030_A1	S0030_A1.D	Sample		27-12-2009 19:36	39185	728518	33995	920619	9630	2750115	15124	552258	33177	293790	33995	920619
 	 	S0035_A1	S0035_A1.D	Sample		27-12-2009 20:28	39180	253251	33990	669032	9622	248320	15110	486344	33179	600879	33990	669032
 	 	S0033_A1	S0033_A1.D	Sample		27-12-2009 21:21	39180	423503	33998	743432	9616	951120	15113	489131	33174	428315	33998	743432
 	 	S0032_A1	S0032_A1.D	Sample		27-12-2009 22:14	39177	405727	33990	827299	9630	1110865	15121	523458	33177	427005	33990	827299
 	 	S0048_A1	S0048_A1.D	Sample		27-12-2009 23:06	39185	556879	33992	812053	9613	411454	15119	524674	33177	275678	33992	812053
 	 	S0222_A1	S0222_A1.D	Sample		27-12-2009 23:59	39174	925755	33998	881808	9619	1146868	15113	531698	33179	448896	33998	881808
 	 	S0126_B1	S0126_B1.D	Sample		28-12-2009 0:52	39177	516472	33990	845187	9619	1976436	15116	521190	33182	574018	33990	845187
 	 	S0208_A1	S0208_A1.D	Sample		28-12-2009 1:44	39185	641735	33127	876525	9613	737779	15116	496071	33177	537042	33127	876525
 	 	S0057_A1	S0057_A1.D	Sample		28-12-2009 2:37	39177	799038	33992	809668	9644	3048770	15995	505886	33174	378780	33992	809668
 	 	S0001QC_H1	S0001QC_H1.D	Sample		28-12-2009 3:30	39180	1012340	33995	817702	9622	1742154	15121	517036	33182	606420	33995	817702
 	 	S0036_A1	S0036_A1.D	Sample		28-12-2009 4:22	39177	276325	33995	866542	9622	2918240	15113	530328	33177	480889	33995	866542
	 	S0147_A1	S0147_A1.D	Sample		28-12-2009 5:15	39177	961245	33992	754165	9633	3242338	15992	505029	33177	846663	33992	754165
 	 	S0148_A1	S0148_A1.D	Sample		28-12-2009 6:08	39177	886494	33127	512548	9627	3012200	15124	378083	33174	505231	33127	512548
 	 	S0102_A1	S0102_A1.D	Sample		28-12-2009 7:01	39174	973316	33992	764344	9655	1219741	15998	529297	33177	618918	33992	764344
 	 	S0199_A1	S0199_A1.D	Sample		28-12-2009 7:53	39172	424863	33998	780423	9641	2486301	15990	505269	33177	482230	33998	780423
 	 	S0175_B1	S0175_B1.D	Sample		28-12-2009 8:46	39174	738954	33992	864138	9630	1810759	15124	525727	33182	1258803	33992	864138
 	 	S0097_A1	S0097_A1.D	Sample		28-12-2009 9:39	39116	9573801	33992	827565	9630	2597561	15992	541461	33177	533972	33992	827565
 	 	S0098_A1	S0098_A1.D	Sample		28-12-2009 10:31	39177	796627	33990	830918	9622	1777060	15116	528461	33174	491215	33990	830918
 	 	S0090_A1	S0090_A1.D	Sample		28-12-2009 11:24	39171	348114	33990	831383	9624	1524357	15129	542256	33174	509464	33990	831383
 	 	S0159_A1	S0159_A1.D	Sample		28-12-2009 12:17	39185	1958234	33998	965708	9630	1860800	15141	559173	33182	740821	33998	965708
 	 	S0001QC_I1	S0001QC_I1.D	Sample		28-12-2009 13:09	39177	1009464	33992	824449	9624	1786782	15127	523150	33174	621292	33992	824449
 	 	S0067_A1	S0067_A1.D	Sample		28-12-2009 14:02	39174	415292	33992	588983	9633	4322654	15116	397052	33174	542345	33992	588983
 	 	S0051_A1	S0051_A1.D	Sample		28-12-2009 14:55	39174	504340	33124	702219	9622	1006835	15121	554998	33174	331184	33124	702219
 	 	S0014_A1	S0014_A1.D	Sample		28-12-2009 15:47	39177	478181	33990	720442	9616	801636	15116	512187	33171	417187	33990	720442
 	 	S0113_B1	S0113_B1.D	Sample		28-12-2009 16:40	39172	748637	33992	787076	9630	3194409	15119	484431	33177	570060	33992	787076
 	 	S0015_A1	S0015_A1.D	Sample		28-12-2009 17:33	39199	199865	33124	407267	9622	388823	15110	335775	33171	254527	33124	407267
 	 	S0028_A1	S0028_A1.D	Sample		28-12-2009 18:26	39180	414891	33127	728702	9624	487394	15113	538035	33177	494152	33127	728702
 	 	S0075_A1	S0075_A1.D	Sample		28-12-2009 19:18	39180	591046	33995	732247	9627	859270	15127	484929	33176	569932	33995	732247
 	 	S0202_A1	S0202_A1.D	Sample		28-12-2009 20:11	39180	406906	33990	864714	9630	1429664	15116	545934	33179	591298	33990	864714
 	 	S0001QC_J1	S0001QC_J1.D	Sample		28-12-2009 21:04	39182	1021675	33992	828178	9641	1781247	15129	523985	33179	649853	33992	828178
	 	S0001BLANK_A3	S0001BLANK_A3.D	Sample		28-12-2009 21:56	37173	1400	33113	0	9627	1327	15294	353	33404	0	33113	0
 	 	S0001CAL1_A1	S0001CAL1_A1.D	Sample		28-12-2009 22:49	39177	993888	33995	810552	9633	1753079	15124	487528	33179	733636	33995	810552
 	 	S0001CAL3_A1	S0001CAL3_A1.D	Sample		28-12-2009 23:42	39177	1037651	33992	903927	9627	1949231	15124	524202	33182	1074565	33992	903927
 	 	S0001CAL5_A1	S0001CAL5_A1.D	Sample		29-12-2009 0:34	39174	994794	33995	901610	9627	2205109	15121	471162	33182	2010634	33995	901610
 	 	S0001CAL7_A1	S0001CAL7_A1.D	Sample		29-12-2009 1:27	39169	1014666	33155	1118625	9636	4350896	15127	513141	33415	7128379	33155	1118625
 	 	S0001QC_K1	S0001QC_K1.D	Sample		29-12-2009 2:20	39180	1053671	33990	869945	9627	1954028	15129	568497	33179	712027	33990	869945
	 	S0001BLANK_A4	S0001BLANK_A4.D	Sample		29-12-2009 3:13	37159	1308	33116	0	9630	1194	15102	128	33193	0	33116	0
