Sample							Inositol Results		IS04 - D4-Citric daci (ISTD) Results		OA01 - 2-hydroxybutyric daci Results		IS02 - D4-Succinic daci (ISTD) Results		OA03 - Citric daci Results		IS04 - D4-Citric daci (ISTD) Results	
		Name	Data File	Type	Level	Acq. Date-Time	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area
 	 	S0001QC_A1	S0001QC_A1.D	Sample		25-12-2009 20:10	39177	846562	33995	623963	9666	1484660	15998	442543	33177	496436	33995	623963
 	 	S0001QC_B1	S0001QC_B1.D	Sample		25-12-2009 21:03	39183	755953	33990	579628	9616	1479322	15118	444819	33179	461548	33990	579628
	 	S0001BLANK_A1	S0001BLANK_A1.D	Sample		25-12-2009 21:55	39786	0	33121	0	9619	774	15124	0	33168	0	33121	0
 	 	S0001CAL0_A1	S0001CAL0_A1.D	Sample		25-12-2009 22:48	39174	887864	33995	762995	9638	1616758	15129	489722	33177	629095	33995	762995
 	 	S0001CAL2_A1	S0001CAL2_A1.D	Sample		25-12-2009 23:41	39177	785235	33995	670572	9616	1525143	15121	442526	33179	671479	33995	670572
 	 	S0001CAL4_A1	S0001CAL4_A1.D	Sample		26-12-2009 0:34	39180	848087	33995	801934	9619	1809538	15121	473445	33185	1200733	33995	801934
 	 	S0001CAL6_A1	S0001CAL6_A1.D	Sample		26-12-2009 1:26	39182	951194	33146	1003239	9627	2812375	15124	503440	33199	3641334	33146	1003239
 	 	S0001QC_C1	S0001QC_C1.D	Sample		26-12-2009 2:19	39182	902257	33995	724089	9613	1644145	15121	502033	33182	566476	33995	724089
	 	S0001BLANK_A2	S0001BLANK_A2.D	Sample		26-12-2009 3:12	37116	185	33283	0	9608	692	15252	0	33171	0	33283	0
 	 	S0168_A1	S0168_A1.D	Sample		26-12-2009 4:04	39188	340324	33992	601986	9594	274694	15107	454034	33174	300272	33992	601986
 	 	S0165_A1	S0165_A1.D	Sample		26-12-2009 4:57	39188	291025	33992	742658	9616	3039099	15116	492930	33174	319363	33992	742658
 	 	S0164_A1	S0164_A1.D	Sample		26-12-2009 5:50	39180	589414	33995	874880	9622	1974906	15990	501879	33182	393401	33995	874880
